,application_number,created_at,hotel_name,hotel_address_line_1,hotel_address_line_2,hotel_city,hotel_state,hotel_zip,hotel_status,license_in,license_out,total_in_household
791,PVUKX6WLAH,2024-10-05 19:38:39.362918+00:00,Residence Inn North Suncoast,"2101 Northpointe Pkwy, Lutz, FL 33558",,Lutz,FL,33558,Booked,2024-11-01,2025-02-05,2.00
792,A5EG4HE9R3,2024-10-05 19:39:13.656216+00:00,Clarion Inn & Suites Central Clearwater Beach,20967 Us Highway 19,,North Clearwater,FL,33765,Booked,2024-10-20,2024-11-19,2.00
809,WFGCPSU9RF,2024-10-05 21:27:31.784858+00:00,Residence Inn Northpointe,2101 Northpointe Pkwy,,Lutz,FL,335588,Booked,2024-11-01,,2.00
828,DKJCSR8DJY,2024-10-06 15:20:59.634615+00:00,La Quinta Inn by Wyndham Clearwater Central,21338 Us Highway 19 N,,Clearwater,FL,33765,Booked,2024-10-16,2024-11-16,2.00
837,SVL5FW8SVT,2024-10-06 15:54:37.359585+00:00,Hampton Inn and Suites Port Richey,"11050 Us Highway 19 Port Richey, FL, US, 34668",,Port Richey,FL,34668,Booked,2025-01-23,2025-02-24,8.00
840,CYFS684WN6,2024-10-06 16:02:03.188302+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,5.00
843,WDJRKYHW3V,2024-10-06 16:05:42.652444+00:00,The Hotel Zamora,3701 Gulf Blvd,,St Petersburg,FL,33706,Booked,2024-10-22,2024-11-21,1.00
855,8RCD537WB9,2024-10-06 16:25:15.813756+00:00,Homewood Suites Tampa Airport,"5325 Avion Park Dr Tampa, FL, US, 33607",,Tampa,FL,33607,Booked,2024-10-23,2024-11-22,2.00
859,8QU95VZHAK,2024-10-06 16:32:14.719495+00:00,Holiday Inn Express and Suites Trinity,2125 Corporate Center Dr,,Trinity,FL,34655,Pending Booking,2024-10-28,2024-11-18,3.00
860,B6ZD8RF55U,2024-10-06 16:32:15.587693+00:00,Residence Inn Suncoast Parkway Northpointe Village,2101 Northpointe Parkway,,Lutz,FL,33558,Booked,2024-11-01,,4.00
861,B6ZD8RF55U,2024-10-06 16:32:15.587693+00:00,Days Inn & Suites by Wyndham Tampa/Raymond James Stadium,5405 N Church Ave,,Tampa,FL,33614,Booked,2024-10-21,2024-11-20,4.00
880,6ETHFMV9V7,2024-10-06 16:52:35.868839+00:00,Hampton Inn and Suites North Port,5664 Tuscola Blvd,,North Port,FL,34287,Booked,2024-11-19,2024-12-19,2.00
881,HUU6GFCD3C,2024-10-06 16:54:57.456331+00:00,Days Inn & Suites by Wyndham Tampa/Raymond James Stadium,"5405 N Church Ave Tampa, FL, US, 33614",,Tampa,FL,33614,Booked,2024-10-27,2024-11-01,2.00
885,M2AZARDJUE,2024-10-06 16:58:21.021488+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,2.00
889,ZR2KN9LSXF,2024-10-06 17:01:49.879366+00:00,Towneplace Suites,21090 U.S. Highway 19 North,,Clearwater,FL,33765,Booked,2024-10-27,2024-11-26,1.00
892,82Z798Y8VN,2024-10-06 17:05:41.658707+00:00,Quality Inn & Suites Conference Center,5316 Us Highway 19,,New Port Richey,FL,34652,Booked,2024-10-20,2024-11-19,2.00
893,LPS3M6CZRA,2024-10-06 17:06:21.313503+00:00,SpringHill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,2.00
895,V8ZDHRPD4H,2024-10-06 17:08:08.387022+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th North,,St. Petersburg,FL,33714,Booked,2024-10-19,,2.00
911,82M86QQ3A9,2024-10-06 17:25:49.925467+00:00,Howard Johnson by Wyndham Clearwater / Dunedin,2798 US Highway 19 N,,Clearwater,FL,33761,Moved Out,2024-10-15,2024-10-16,1.00
918,6NQWWVXLES,2024-10-06 17:30:02.914318+00:00,Legacy Vacation Resorts - Indian Shores,19607 Gulf Blvd,,Indian Shores,FL,33785,Applicant Accepted,2024-10-25,2024-11-24,2.00
921,MUYERZVTM8,2024-10-06 17:30:44.723460+00:00,"Country Inn & Suites by Radisson, St. Petersburg",8050 US Hwy 19 N,,Pinellas Park,FL,33781,Booked,2024-10-19,2024-11-18,2.00
923,88V5AGD96D,2024-10-06 17:33:15.009487+00:00,"Country Inn & Suites by Radisson, St. Petersburg",8050 US Hwy 19 N,,Pinellas Park,FL,33781,Moved Out,2024-10-21,2024-10-26,2.00
929,7NVCD5ULRT,2024-10-06 17:38:56.906169+00:00,Microtel Inn & Suites,4881 Commercial Way,,Spring Hill,FL,34606,Booked,2024-10-13,2024-11-13,4.00
931,J58N7TGPEK,2024-10-06 17:40:34.142671+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy (Northpointe Village Shopping Center),,Lutz,FL,33558,Rejected,2024-11-01,,2.00
936,DR3LJJWBTZ,2024-10-06 17:45:04.254457+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy (Northpointe Village Shopping Center),,Lutz,FL,33558,Booked,2024-11-01,2024-12-01,2.00
942,QZW7XPNY5B,2024-10-06 17:50:42.032037+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,2.00
943,2P3PKH85EA,2024-10-06 17:51:12.489401+00:00,Quality Inn & Suites at Tropicana Field,1400 34th St,,North St. Petersburg,FL,33713,Moved Out,2024-10-27,2024-11-26,1.00
944,2P3PKH85EA,2024-10-06 17:51:12.489401+00:00,"Holiday Inn St. Petersburg West, an IHG Hotel",1200 34th Street,,North St Petersburg,FL,33713,Booked,2024-10-30,2024-11-29,1.00
947,4FVYGLUH5C,2024-10-06 17:55:02.960066+00:00,Days Inn by Wyndham St. Petersburg / Tampa Bay Area,5005 34th Street,,North St. Petersburg,FL,33714,Booked,2024-10-20,2024-11-19,1.00
950,MN33EEY9FB,2024-10-06 17:57:06.330705+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-27,2.00
961,CVD8HRPTZX,2024-10-06 18:05:05.663090+00:00,Days Inn & Suites by Wyndham Tampa/Raymond James Stadium,5405 N Church Ave,,Tampa,FL,33614,Booked,2024-10-17,2024-11-17,3.00
985,VPYB3Z43J4,2024-10-06 18:22:42.126553+00:00,Comfort Inn & Suites,6206 US HWY 19,,New Port Richey,FL,34652,Booked,2024-10-20,2024-11-18,1.00
990,DSELUTJ7DA,2024-10-06 18:25:15.987613+00:00,"Holiday Inn St. Petersburg West, an IHG Hotel",1200 34th Street North,,"St Petersburg,",FL,33713,Booked,2024-11-03,2024-12-03,2.00
991,DSELUTJ7DA,2024-10-06 18:25:15.987613+00:00,La Quinta Inn by Wyndham Tampa Bay Pinellas Park Clearwater,7500 Highway 19 N,,Pinellas,FL,33781,Moved Out,2024-10-20,2024-10-24,2.00
997,SKXATNE55R,2024-10-06 18:28:07.886828+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,2.00
1018,JZSVK8JL25,2024-10-06 18:42:20.735136+00:00,Fairfield Inn & Suites Tampa,2215 North Lois Avenue,,Tampa,FL,33607,Booked,2024-10-22,2024-11-21,3.00
1023,B2K4CMDA7Q,2024-10-06 18:45:10.326538+00:00,Residence Inn by Marriott Tampa Wesley Chapel,2867 LAJUANA BLVD,,"Wesley Chapel,",FL,33543,Booked,2024-10-23,2024-11-22,1.00
1025,JSWGVY8G7V,2024-10-06 18:47:03.836847+00:00,Aloft Tampa Midtown,3650 Midtown Drive,,Tampa,FL,33607,Booked,2024-10-30,2024-11-15,4.00
1028,UGBUKL6CJA,2024-10-06 18:49:06.438403+00:00,Legacy Vacation Resorts - Indian Shores,19607 Gulf Blvd Indian Shores,,Indian Shores,FL,33785,Booked,2024-10-25,2024-11-24,4.00
1034,ZN2NGNBVAA,2024-10-06 18:52:12.300597+00:00,Holiday Inn Express & Suites St. Petersburg - Madeira Beach,4816 100th Way North,,Madeira Beach,FL,33708,Booked,2024-10-27,2024-11-26,2.00
1055,XMA3XZQ38S,2024-10-06 19:07:06.914680+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th North,,St. Petersburg,FL,33714,Booked,2024-10-19,,2.00
1058,G2AYJHPTJP,2024-10-06 19:09:15.280273+00:00,Comfort Inn & Suites Northeast - Gateway,875 94th Avenue North,,St. Petersburg,FL,33702,Booked,2024-10-20,2024-11-18,3.00
1059,KPALEPAHFK,2024-10-06 19:09:44.522288+00:00,Microtel Inn & Suites,4881 Commercial Way,,Spring Hill,FL,34606,Booked,2024-10-14,2024-11-13,2.00
1060,LXEDDZK9BQ,2024-10-06 19:09:49.126006+00:00,Tampa Clearwater,,,Tampa,FL,,Booked,2024-11-01,2024-12-01,1.00
1061,M6HWQU6BRL,2024-10-06 19:10:06.391869+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,1.00
1067,F34EY2MDBM,2024-10-06 19:14:27.792510+00:00,La Quinta Inn & Suites by Wyndham St. Pete-Clearwater Airpt,3301 Ulmerton Rd,,Clearwater,FL,33762,Booked,2024-10-24,2024-11-23,3.00
1073,2BKHCVPAMQ,2024-10-06 19:17:32.837881+00:00,Days Inn by Wyndham Lake City,3144 West US Highway 90,,Lake City,FL,32055,Booked,2024-10-29,2024-11-28,5.00
1074,2BKHCVPAMQ,2024-10-06 19:17:32.837881+00:00,Days Inn by Wyndham Lake City,3144 West US Highway 90,,Lake City,FL,32055,Booked,2024-10-29,,5.00
1076,NA9S6D3W2W,2024-10-06 19:18:17.056238+00:00,Home2 Suites by Hilton Largo,"10145 Ulmerton Road  ,",,"Largo,",FL,33771,Booked,2024-11-26,2024-11-25,2.00
1078,95L29X9SC6,2024-10-06 19:19:08.868335+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,5.00
1079,95L29X9SC6,2024-10-06 19:19:08.868335+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,5.00
1092,YDRJZCR3A3,2024-10-06 19:30:16.845071+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,1.00
1098,5P85UPA6SA,2024-10-06 19:35:28.526025+00:00,"Holiday Inn Express & Suites Trinity, an IHG Hotel",2125 Corporate Center Dr,,Trinity,FL,34655,Booked,2024-10-31,2024-11-30,1.00
1100,2E8RJV8935,2024-10-06 19:38:09.076029+00:00,Residence Inn Suncoast Parkway at Northpoint,2101 Northpointe Parkway,,Lutz,FL,33558,Booked,2024-11-01,2025-02-05,2.00
1105,JB9EHYD93N,2024-10-06 19:43:19.131338+00:00,Microtel Inn & Suites,4881 Commercial Way,,Spring Hill,FL,34606,Booked,2024-10-18,2024-11-16,3.00
1106,5XEKEHVC8H,2024-10-06 19:44:31.910865+00:00,The Beachcomber,6200 Gulf Blvd,,St. Petersburg,FL,33706,Booked,2025-01-15,2025-02-14,3.00
1118,J6SSBFRUXU,2024-10-06 19:50:39.152297+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,1.00
1124,5VLBZJYYVL,2024-10-06 19:53:57.397670+00:00,Holiday Inn Express Inverness,903 E Gulf To Lake Hwy,,Lecanto,FL,34461,Booked,2024-10-19,2024-11-18,2.00
1128,B7DZUX5CE2,2024-10-06 19:59:27.012787+00:00,Holiday Inn Express Clearwater East,13625 Icot Blvd,,Clearwater,FL,33760,Booked,2024-10-17,2024-11-16,3.00
1137,QYKZLFTSLM,2024-10-06 20:04:26.919271+00:00,Extended Stay America Suites Clearwater Carillon Park,2311 Ulmerton Rd,,Clearwater,FL,33762,Moved Out,2024-10-16,2024-10-17,3.00
1148,ZF3R8FZNF5,2024-10-06 20:15:32.048798+00:00,Clarion Inn & Suites Central Clearwater Beach,20967 Us Highway 19 N,,Clearwater,FL,33765,Moved Out,2024-10-21,2024-10-23,5.00
1156,SAQYCE5FAK,2024-10-06 20:21:20.577088+00:00,Hampton Inn & Suites,11050 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-16,2024-11-15,2.00
1162,TXEW3JB555,2024-10-06 20:25:55.406449+00:00,La Quinta Inn by Wyndham Tampa Bay Pinellas Park Clearwater,7500 Highway 19 N,,Pinellas Park,FL,33781,Booked,2024-10-18,2024-11-18,1.00
1163,EXUT498PGP,2024-10-06 20:26:53.073134+00:00,Sleep Inn & Suites Tampa South,6231 S Dale Mabry Highway,,Tampa,FL,33611,Booked,2024-10-16,2024-11-15,2.00
1166,HSCLKG8SKB,2024-10-06 20:30:20.362191+00:00,Holiday Inn Express & Suites,10619 Us Highway 19,,New Port Richey,FL,34668,Booked,2024-10-22,2024-11-21,2.00
1172,F8MAWUC4A3,2024-10-06 20:37:36.354325+00:00,Clarion Inn & Suites Central Clearwater Beach,20967 Us Highway 19 N,,Clearwater,FL,33765,Booked,2024-10-18,2024-11-18,2.00
1173,F8MAWUC4A3,2024-10-06 20:37:36.354325+00:00,Extended Stay America Suites Clearwater Carillon Park,2311 Ulmerton Rd,,Clearwater,FL,33762,Moved Out,2024-10-16,2024-10-16,2.00
1174,X2GXYE23TE,2024-10-06 20:37:55.441384+00:00,Residence Inn Tampa Suncoast Parkway,2101 Northpointe Pkwy,,,FL,33558,Booked,2024-11-01,2025-02-05,4.00
1175,DTT8REJL6Y,2024-10-06 20:38:47.529769+00:00,Microtel Inn & Suites by Wyndham Spring Hill,4881 Commercial Way,,Spring Hill,FL,34606,Booked,2024-10-25,2024-11-25,4.00
1176,DK2ZQ5GLA3,2024-10-06 20:41:08.499085+00:00,Days Inn & Suites,5405 N Church Ave,,Tampa,FL,33614,Moved Out,2024-10-16,2024-10-23,3.00
1180,7ALJDQF7K2,2024-10-06 20:47:29.305707+00:00,Hampton Inn & Suites Port Richey,11050 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-23,2024-11-22,1.00
1184,RFLQB6PR4Y,2024-10-06 20:51:02.176864+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,2.00
1185,Q52MDPK32L,2024-10-06 20:52:19.116107+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-18,2024-10-19,1.00
1186,Q6M8RABUJL,2024-10-06 20:54:19.332224+00:00,Hotel Zamora,3701 Gulf Blvd,,Saint Petersburg Florida,FL,33706,Booked,2024-10-22,2024-11-21,3.00
1197,2YFR53FH4A,2024-10-06 21:26:00.252672+00:00,Hampton Inn & Suites,11050 Us Highway 19,,Port Richey,FL,34668,Moved Out,2024-10-22,2024-10-26,5.00
1227,HCR2ACQ3ET,2024-10-06 22:17:39.844869+00:00,WoodSpring Suites Hudson Port Richey,12407 US Highway 19 North,,Hudson,FL,34667,Booked,2024-10-25,2024-11-25,2.00
1228,Y6XZSJKQZ2,2024-10-06 22:19:08.683261+00:00,Rodeway Inn,6826 Us Highway 19,,New Port Richey,FL,34652,Moved Out,2024-10-18,2024-10-19,2.00
1229,Y6XZSJKQZ2,2024-10-06 22:19:08.683261+00:00,Hampton Inn & Suites Tarpon Springs,"39284 Us Highway 19 N, Tarpon Springs, FL, 34689",,Tarpon Springs,FL,34689,Booked,2024-10-20,2024-11-19,2.00
1235,KYJ7KFPE63,2024-10-06 22:24:51.319762+00:00,La Quinta Inn by Wyndham,7500 Highway 19 N,,Pinellas Park,FL,33781,Booked,2024-10-20,2024-11-21,1.00
1238,8HUC4GQJZP,2024-10-06 22:27:35.612814+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy (Northpointe Village Shopping Center),,Lutz,FL,33558,Booked,,,4.00
1241,PLEF4D7CVV,2024-10-06 22:31:31.673488+00:00,"Country Inn & Suites by Radisson, St. Petersburg",8050 US Hwy 19 N,,Pinellas Park,FL,33781,Booked,2024-10-25,2024-11-24,1.00
1242,C4L5P2LWAX,2024-10-06 22:33:30.458449+00:00,Crystal Palms Beach Resort,11605 Gulf Blvd,,Treasure Island,FL,33706,Booked,2024-10-22,2024-11-19,4.00
1247,V6MZ7WBZP6,2024-10-06 22:39:59.136176+00:00,Rodeway Inn,11810 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-15,2024-11-14,1.00
1253,UA9WTEJJLK,2024-10-06 22:46:26.257327+00:00,Hampton Inn Tampa/Rocky Point-Airport,3035 N Rocky Point Dr,,Tampa,FL,33607,Booked,2024-10-28,2024-11-27,2.00
1270,NGBXYG3HGB,2024-10-06 23:10:28.532780+00:00,Clarion Inn & Suites Central Clearwater Beach,20967 Us Highway 19 N,,Clearwater,FL,33765,Booked,2024-10-21,2024-11-20,2.00
1275,XYZ9AUN8WH,2024-10-06 23:18:03.637613+00:00,Econo Lodge Crystal River,2575 Suncoast Blvd Us 19,,Crystal River,FL,34428,Booked,2024-10-20,2024-11-19,2.00
1290,DUW9VP8VTN,2024-10-06 23:38:53.910332+00:00,La Quinta Inn by Wyndham Tampa Bay Pinellas Park Clearwater,7500 Highway 19 N,,Pinellas Park,FL,33781,Booked,2024-10-25,2024-11-24,1.00
1303,63YWMDA9KY,2024-10-06 23:58:59.320195+00:00,Homewood Suites Tampa Airport,5325 Avion Park Dr,,Tampa,FL,33607,Booked,2024-11-05,2024-12-05,2.00
1329,LJ49SMEVAL,2024-10-07 00:45:42.047159+00:00,"Country Inn & Suites by Radisson, Tampa Airport East-RJ Stadium",4750 N Dale Mabry Hwy,,Tampa,FL,33614,Booked,2024-10-18,2024-11-17,2.00
1334,P59UHDYP8R,2024-10-07 00:51:18.083501+00:00,Extended Stay America Suites Clearwater Carillon Park,2311 Ulmerton Rd,,Clearwater,FL,33762,Booked,2024-10-21,2024-11-20,2.00
1346,Q7H9XGT8NL,2024-10-07 01:05:45.252163+00:00,LaQuinta Inn & Suites by Wyndham Clearwater,5000 Lake Blvd,,Pinellas Park,FL,33760,Booked,2024-10-26,2024-11-25,1.00
1350,8BMWN7HBW4,2024-10-07 01:09:24.079152+00:00,Holiday Inn Express & Suites Ruskin,226 Teco Rd,,Ruskin,FL,33570,Booked,2024-10-29,2024-11-28,4.00
1352,5XWLN7X4DC,2024-10-07 01:12:29.300168+00:00,Extended Stay America Suites Clearwater Carillon Park,2311 Ulmerton Rd,,Clearwater,FL,33762,Moved Out,2024-10-19,2024-10-25,4.00
1355,DJ45MNZ9PW,2024-10-07 01:15:34.917512+00:00,Sleep Inn & Suites Port Charlotte,806 Kings Hwy,,Port Charlotte,FL,33980,Booked,2024-10-25,2024-11-24,1.00
1369,G7FLUM7QNP,2024-10-07 01:31:12.070629+00:00,"Days Inn by Wyndham Madison, FL",6160 S State Road 53,,Madison,FL,32340,Booked,2024-10-12,2024-11-12,1.00
1386,4RHN4CJUC3,2024-10-07 01:49:38.954021+00:00,Quality Inn & Suites Conference Center,5316 US Highway 19,,New Port Richey,FL,34652,Booked,2024-10-25,2024-11-24,2.00
1403,XDSZRPH84B,2024-10-07 02:16:08.693201+00:00,Quality Inn St Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,4.00
1409,Q5HJ3UXQAP,2024-10-07 02:25:54.340765+00:00,Microtel Inn and Suites by Wyndham Port Charlotte,"4056 Tamiami Trl Port Charlotte, FL, US, 33952",,Port Charlotte,FL,33948,Booked,2024-10-24,2024-11-24,2.00
1411,WUPU92EMB8,2024-10-07 02:30:28.157531+00:00,Hampton Inn & Suites Port Richey,11050 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-26,2024-11-25,1.00
1414,SH6PR7TTF2,2024-10-07 02:36:31.882386+00:00,Sleep Inn & Suites Tampa South,6231 S Dale Mabry Highway,,Tampa,FL,33611,Booked,2024-11-02,2024-12-02,4.00
1415,AKJX42VEWR,2024-10-07 02:38:51.830901+00:00,Days Inn & Suites,10826 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-16,2024-11-15,3.00
1420,MQFC6EM4XY,2024-10-07 02:46:43.423608+00:00,Microtel Inn & Suites,4881 Commercial Way,,Spring Hll,FL,34606,Booked,2024-10-17,2024-11-16,3.00
1427,TA79CQ9WUG,2024-10-07 02:57:21.061016+00:00,SpringHill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,2.00
1429,7C7G482GDW,2024-10-07 03:03:21.600343+00:00,"Country Inn & Suites by Radisson, Tampa Airport East-RJ Stadium",4750 N Dale Mabry Hwy,,Tampa,FL,33614,Booked,2024-10-18,2024-11-17,1.00
1444,J44RX4HZJJ,2024-10-07 04:24:54.218102+00:00,Microtel Inn & Suites,4881 Commercial Way,,Spring Hill,FL,34606,Booked,2024-10-21,2024-11-20,2.00
1446,SF9BYFFUF8,2024-10-07 04:31:41.929673+00:00,Holiday Inn Express St. Petersburg North (I-275),2171 54th Ave N,,St. Petersburg,FL,33714,Booked,2024-12-01,2024-12-31,2.00
1456,G6YTKZ5DP2,2024-10-07 08:51:25.812974+00:00,Quality Inn & Suites at Tropicana Field,1400 34th St N,,St Petersburg,FL,33713,Booked,2024-10-21,2024-11-22,4.00
1460,VNTJVHQ26A,2024-10-07 09:14:10.209738+00:00,Clarion Inn & Suites Central Clearwater Beach,20967 Us Highway 19 N,,Clearwater,FL,33765,Moved Out,2024-10-13,2024-10-15,2.00
1464,8GQLE4LRN3,2024-10-07 09:35:04.123491+00:00,"Candlewood Suites Safety Harbor - Clearwater NE, an IHG Hotel",2471 Mcmullen Booth Road,,Safety Harbour,FL,33759,Booked,2024-10-26,2024-11-25,3.00
1465,8GQLE4LRN3,2024-10-07 09:35:04.123491+00:00,Extended Stay America Suites Clearwater Carillon Park,2311 Ulmerton Rd,,Clearwater,FL,33762,Moved Out,2024-10-19,2024-10-20,3.00
1466,Z9WJVJNBG4,2024-10-07 10:34:07.692511+00:00,Comfort Inn & Suites,6206 US HWY 19,,Pinellas Park,FL,33781,Booked,2024-10-22,2024-11-20,1.00
1471,8KGZ9JW6QA,2024-10-07 10:52:15.562832+00:00,Country Inn & Suites,8050 US Hwy 19N,,Pinellas Park,FL,33781,Booked,2024-10-28,2024-11-27,1.00
1472,G6FZ9UMXRH,2024-10-07 10:55:19.696274+00:00,Comfort Inn & Suites New Port Richey Downtown District,6206 US HWY 19,,New Port Richey,FL,34652,Booked,2024-10-25,2024-11-24,2.00
1473,HPPC8MLXJF,2024-10-07 10:58:34.823656+00:00,"Holiday Inn St Petersburg N - Clearwater, an IHG Hotel, part of Holiday Inn",3535 Ulmerton Rd,,Clearwater,FL,33762,Booked,2024-10-23,2024-11-22,3.00
1474,DVLWDDP3YZ,2024-10-07 12:01:11.365604+00:00,Hampton Inn & Suites Port Richey,11050 Us Highway 19,,"Port Richey, FL,",FL,34668,Booked,2024-10-23,2024-11-23,3.00
1479,E3CR92HFMY,2024-10-07 12:15:31.643927+00:00,Residence Inn by Marriott St. Petersburg Tierra Verde,214 Madonna Blvd,,Tierra Verde,FL,33715,Booked,2024-10-31,2024-11-30,1.00
1485,9K5HUADBA4,2024-10-07 12:22:27.548694+00:00,"Country Inn & Suites by Radisson, St. Petersburg",8050 US Hwy 19N,,Pinnellas Park,FL,33781,Booked,2024-10-20,2024-11-19,3.00
1487,GXW7X7U822,2024-10-07 12:25:15.413261+00:00,Extended Stay America Premier Suites Tampa Gibsonton,10623 East Bay Road,,Gibsonton,FL,33534,Booked,2024-10-26,2024-11-25,1.00
1490,LYVZ79RYJZ,2024-10-07 12:29:34.608607+00:00,"Residence Inn St Petersburg Treasure Island, part of Residence Inn by Marriott",11908 Gulf Blvd,,St. Petersburg,FL,33706,Booked,2024-10-23,2024-11-22,2.00
1520,EH8GGNQU6A,2024-10-07 13:12:17.098932+00:00,"Country Inn & Suites by Radisson, St. Petersburg - Clearwater, FL",8050 US Hwy 19 N,,Pinellas Park,FL,33781,Booked,2024-11-01,2024-12-01,1.00
1543,S8L3PPQZLM,2024-10-07 13:35:21.852085+00:00,TownePlace Suites Tampa Clearwater,21090 U.S. Highway 19 North,,Clearwater,FL,33765,Rejected,,,5.00
1544,PBLVZVRYUS,2024-10-07 13:35:52.131144+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,2.00
1546,N4JUD5DAQ3,2024-10-07 13:39:15.319755+00:00,Comfort Suites Tampa-Brandon,9932 Adamo Dr,,Tampa,FL,33619,Booked,2024-10-16,2024-11-15,5.00
1547,CAJ58A8QUV,2024-10-07 13:39:59.764258+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy (Northpointe Village Shopping Center),,Lutz,FL,33558,Booked,2024-11-01,2024-12-01,2.00
1549,Y45N9RFHST,2024-10-07 13:42:45.278000+00:00,Hampton Inn Tampa-Veterans Expwy (Airport North),5628 W Waters Ave,,Tampa,FL,33634,Booked,2024-10-25,2024-11-24,4.00
1561,8DSZ5S9TE3,2024-10-07 13:58:07.112636+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave N,,St Petersburg,FL,33714,Booked,2024-10-27,2024-11-26,3.00
1562,RFYD4WBG3F,2024-10-07 14:00:16.444459+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,2.00
1565,A2V69Q2ZZ7,2024-10-07 14:08:30.978258+00:00,Holiday Inn Express & Suites St. Petersburg - Madeira Beach,4816 100th Way North,,Madeira Beach,FL,33708,Booked,2024-10-28,2024-11-27,2.00
1590,ZNPA352KCS,2024-10-07 14:34:54.202832+00:00,Quality Inn & Suites Conference Center,5316 Us Highway 19,,New Port Richey,FL,34652,Booked,2024-10-15,2024-11-16,2.00
1596,R87HG2BCZD,2024-10-07 14:39:43.182498+00:00,Hyatt Place Tampa Airport/Westshore,4811 W Main St,,Tampa,FL,33607,Booked,2024-10-26,2024-11-03,2.00
1600,L54AH5VZ4K,2024-10-07 14:43:02.125317+00:00,Quality Inn St. Petersburg North Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,3.00
1607,25WECJJZC2,2024-10-07 14:49:46.863639+00:00,Harbourside Marker 33,311 2nd St.,,Indian Rocks Beach,FL,33785,Booked,2024-10-26,2024-11-25,4.00
1629,ZGFLQNF8E6,2024-10-07 15:15:58.340964+00:00,"Comfort Inn & Suites Northeast - Gateway, part of Comfort Inn & Suites",875 94th Avenue North,,St. Petersburg,FL,33702,Booked,2024-10-28,2024-11-27,8.00
1630,ZGFLQNF8E6,2024-10-07 15:15:58.340964+00:00,"Comfort Inn & Suites Northeast - Gateway, part of Comfort Inn & Suites",875 94th Avenue North,,St Petersburg,FL,33702,Booked,2024-10-28,2024-10-27,8.00
1633,JB7RF7SMQN,2024-10-07 15:18:35.103632+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,2.00
1648,V97CKXXDGC,2024-10-07 15:45:00.677944+00:00,"Country Inn & Suites by Radisson, St. Petersburg - Clearwater, FL","8050 US Hwy 19N,",,Pinellas Park,FL,33781,Booked,2024-10-27,2024-11-26,1.00
